Title,RoleType,Name,Shares,Note
ALABAMA GET AWAY,ASCAP,Total Controlled by ASCAP,100,
ALABAMA GET AWAY,W,GARCIA JEROME J,,
ALABAMA GET AWAY,W,HUNTER ROBERT C,,
ALABAMA GET AWAY,P,ICE NINE PUBLISHING CO INC,,
ALABAMA GET AWAY,P,UNIVERSAL MUSIC CORPORATION,,
ALABAMA GETAWAY,ASCAP,Total Controlled by ASCAP,100,
ALABAMA GETAWAY,W,GARCIA JEROME J,,
ALABAMA GETAWAY,W,HUNTER ROBERT C,,
ALABAMA GETAWAY,P,ICE NINE PUBLISHING CO INC,,
ALABAMA GETAWAY,P,UNIVERSAL MUSIC CORPORATION,,
ALICE D MILLIONAIRE,ASCAP,Total Controlled by ASCAP,90,
ALICE D MILLIONAIRE,W,GARCIA JEROME J,,
ALICE D MILLIONAIRE,W,KREUTZMANN WILLIAM ,,
ALICE D MILLIONAIRE,W,LESH PHILIP ,,
ALICE D MILLIONAIRE,W,MAC KERNAN RONALD CHARLES R C,,
ALICE D MILLIONAIRE,W,WEIR ROBERT HALL,,
ALICE D MILLIONAIRE,P,ICE NINE PUBLISHING CO INC,,
ALICE D MILLIONAIRE,P,UNIVERSAL MUSIC CORPORATION,,
ALL THE UNSUNG HEROES CUES,ASCAP,Total Controlled by ASCAP,50,
ALL THE UNSUNG HEROES CUES,W,GARCIA JEROME J,,
ALL THE UNSUNG HEROES CUES,P,Additional Non-ASCAP Publishers,,
ALTHEA,ASCAP,Total Controlled by ASCAP,100,
ALTHEA,W,GARCIA JEROME J,,
ALTHEA,W,HUNTER ROBERT C,,
ALTHEA,P,ICE NINE PUBLISHING CO INC,,
ALTHEA,P,UNIVERSAL MUSIC CORPORATION,,
AMAZING GRACE,ASCAP,Total Controlled by ASCAP,50,
AMAZING GRACE,W,DP  ,,
AMAZING GRACE,W,GARCIA JEROME J,,
AMAZING GRACE,W,GRISMAN DAVID JAY,,
AMAZING GRACE,P,ICE NINE PUBLISHING CO INC,,
AMAZING GRACE,P,UNIVERSAL MUSIC CORPORATION,,
AMAZING GRACE,P,Additional Non-ASCAP Publishers,,
AMERICAN POPSICLE,ASCAP,Total Controlled by ASCAP,66.7,
AMERICAN POPSICLE,W,BRICKELL EDIE ARLISA,,
AMERICAN POPSICLE,W,GARCIA JEROME J,,
AMERICAN POPSICLE,W,WASSERMAN ROBERT S,,
AMERICAN POPSICLE,P,EDIE BRICKELL SONGS,,
AMERICAN POPSICLE,P,ICE NINE PUBLISHING CO INC,,
AMERICAN POPSICLE,P,UNIVERSAL GEFFEN MUSIC,,
AMERICAN POPSICLE,P,UNIVERSAL MUSIC CORPORATION,,
AMERICAN POPSICLE,P,Additional Non-ASCAP Publishers,,
APOLLO AT THE RITZ,ASCAP,Total Controlled by ASCAP,83.35,
APOLLO AT THE RITZ,W,GARCIA JEROME J,,
APOLLO AT THE RITZ,W,HART MICHAEL S,,
APOLLO AT THE RITZ,W,KREUTZMANN WILLIAM ,,
APOLLO AT THE RITZ,W,LESH PHILIP ,,
APOLLO AT THE RITZ,W,MYDLAND BRENT RICHARD,,
APOLLO AT THE RITZ,W,WEIR ROBERT HALL,,
APOLLO AT THE RITZ,P,ICE NINE PUBLISHING CO INC,,
APOLLO AT THE RITZ,P,UNIVERSAL MUSIC CORPORATION,,
APOLLO AT THE RITZ,P,Additional Non-ASCAP Publishers,,
ATTICS OF MY LIFE,ASCAP,Total Controlled by ASCAP,100,
ATTICS OF MY LIFE,W,GARCIA JEROME J,,
ATTICS OF MY LIFE,W,HUNTER ROBERT C,,
ATTICS OF MY LIFE,P,ICE NINE PUBLISHING CO INC,,
ATTICS OF MY LIFE,P,UNIVERSAL MUSIC CORPORATION,,
BEAUTIFUL JAM,ASCAP,Total Controlled by ASCAP,40,
BEAUTIFUL JAM,W,GARCIA JEROME J,,
BEAUTIFUL JAM,W,KREUTZMANN WILLIAM ,,
BEAUTIFUL JAM,W,LESH PHILIP ,,
BEAUTIFUL JAM,W,MAC KERNAN RONALD CHARLES R C,,
BEAUTIFUL JAM,W,WEIR ROBERT HALL,,
BEAUTIFUL JAM,P,ICE NINE PUBLISHING CO INC,,
BEAUTIFUL JAM,P,UNIVERSAL MUSIC CORPORATION,,
BELIEVE IT OR NOT,ASCAP,Total Controlled by ASCAP,100,
BELIEVE IT OR NOT,W,GARCIA JEROME J,,
BELIEVE IT OR NOT,W,HUNTER ROBERT C,,
BELIEVE IT OR NOT,P,ICE NINE PUBLISHING CO INC,,
BELIEVE IT OR NOT,P,UNIVERSAL MUSIC CORPORATION,,
BERTHA,ASCAP,Total Controlled by ASCAP,100,
BERTHA,W,GARCIA JEROME J,,
BERTHA,W,HUNTER ROBERT C,,
BERTHA,P,ICE NINE PUBLISHING CO INC,,
BERTHA,P,UNIVERSAL MUSIC CORPORATION,,
BIRD SONG,ASCAP,Total Controlled by ASCAP,100,
BIRD SONG,W,GARCIA JEROME J,,
BIRD SONG,W,HUNTER ROBERT C,,
BIRD SONG,P,ICE NINE PUBLISHING CO INC,,
BIRD SONG,P,UNIVERSAL MUSIC CORPORATION,,
BLACK MUDDY RIVER,ASCAP,Total Controlled by ASCAP,100,
BLACK MUDDY RIVER,W,GARCIA JEROME J,,
BLACK MUDDY RIVER,W,HUNTER ROBERT C,,
BLACK MUDDY RIVER,P,ICE NINE PUBLISHING CO INC,,
BLACK MUDDY RIVER,P,UNIVERSAL MUSIC CORPORATION,,
BLACK PETER,ASCAP,Total Controlled by ASCAP,100,
BLACK PETER,W,GARCIA JEROME J,,
BLACK PETER,W,HUNTER ROBERT C,,
BLACK PETER,P,ICE NINE PUBLISHING CO INC,,
BLACK PETER,P,UNIVERSAL MUSIC CORPORATION,,
BLUES FOR ALLAH,ASCAP,Total Controlled by ASCAP,100,
BLUES FOR ALLAH,W,GARCIA JEROME J,,
BLUES FOR ALLAH,W,HUNTER ROBERT C,,
BLUES FOR ALLAH,P,ICE NINE PUBLISHING CO INC,,
BLUES FOR ALLAH,P,UNIVERSAL MUSIC CORPORATION,,
BORNEO,ASCAP,Total Controlled by ASCAP,37.5,
BORNEO,W,DP  ,,
BORNEO,W,GARCIA JEROME J,,
BORNEO,W,HUNTER ROBERT C,,
BORNEO,W,MAC KERNAN RONALD CHARLES R C,,
BORNEO,W,WEIR ROBERT HALL,,
BORNEO,P,ICE NINE PUBLISHING CO INC,,
BORNEO,P,UNIVERSAL MUSIC CORPORATION,,
BOSTON CLAM JAM,ASCAP,Total Controlled by ASCAP,85.73,
BOSTON CLAM JAM,W,GARCIA JEROME J,,
BOSTON CLAM JAM,W,HART MICHAEL S,,
BOSTON CLAM JAM,W,HORNSBY BRUCE RANDALL,,
BOSTON CLAM JAM,W,KREUTZMANN WILLIAM ,,
BOSTON CLAM JAM,W,LESH PHILIP ,,
BOSTON CLAM JAM,W,WEIR ROBERT HALL,,
BOSTON CLAM JAM,W,WELNICK VINCE ,,
BOSTON CLAM JAM,P,ICE NINE PUBLISHING CO INC,,
BOSTON CLAM JAM,P,UNIVERSAL MUSIC CORPORATION,,
BOSTON CLAM JAM,P,Additional Non-ASCAP Publishers,,
BROKEDOWN PALACE,ASCAP,Total Controlled by ASCAP,100,
BROKEDOWN PALACE,W,GARCIA JEROME J,,
BROKEDOWN PALACE,W,HUNTER ROBERT C,,
BROKEDOWN PALACE,P,ICE NINE PUBLISHING CO INC,,
BROKEDOWN PALACE,P,UNIVERSAL MUSIC CORPORATION,,
BROWN-EYED WOMEN,ASCAP,Total Controlled by ASCAP,100,
BROWN-EYED WOMEN,W,GARCIA JEROME J,,
BROWN-EYED WOMEN,W,HUNTER ROBERT C,,
BROWN-EYED WOMEN,P,ICE NINE PUBLISHING CO INC,,
BROWN-EYED WOMEN,P,UNIVERSAL MUSIC CORPORATION,,
BUILT TO LAST,ASCAP,Total Controlled by ASCAP,100,
BUILT TO LAST,W,GARCIA JEROME J,,
BUILT TO LAST,W,HUNTER ROBERT C,,
BUILT TO LAST,P,ICE NINE PUBLISHING CO INC,,
BUILT TO LAST,P,UNIVERSAL MUSIC CORPORATION,,
C.C. RIDER,ASCAP,Total Controlled by ASCAP,83.35,
C.C. RIDER,W,DP  ,,
C.C. RIDER,W,GARCIA JEROME J,,
C.C. RIDER,W,HART MICHAEL S,,
C.C. RIDER,W,KREUTZMANN WILLIAM ,,
C.C. RIDER,W,LESH PHILIP ,,
